"","x"
"1",8
"2",33
"3",19
"4",11
"5",10
"6",12
"7",41
"8",2
"9",16
"10",6
"11",34
"12",18
"13",45
"14",32
"15",43
"16",26
"17",37
"18",29
"19",50
"20",28
"21",42
"22",31
"23",4
"24",36
"25",47
"26",22
"27",35
"28",13
"29",24
"30",1
"31",46
"32",40
"33",25
"34",49
"35",48
"36",38
"37",21
"38",44
"39",14
"40",17
"41",3
"42",20
"43",39
"44",27
"45",9
"46",23
"47",7
"48",5
"49",15
"50",30
"51",1078
"52",1270
"53",1400
"54",1001
"55",1353
"56",1442
"57",1328
"58",1251
"59",1245
"60",1146
"61",1276
"62",1465
"63",1344
"64",1113
"65",1071
"66",1448
"67",1008
"68",1306
"69",1424
"70",1046
"71",1094
"72",1338
"73",1025
"74",1435
"75",1182
"76",1015
"77",1238
"78",1109
"79",1163
"80",1002
"81",1355
"82",1033
"83",1223
"84",1507
"85",1135
"86",1420
"87",1043
"88",1512
"89",983
"90",1441
"91",1189
"92",81
"93",1458
"94",1459
"95",1518
"96",1516
"97",995
"98",1319
"99",1065
"100",1067
"101",1224
"102",1417
"103",1183
"104",1281
"105",1413
"106",1148
"107",1144
"108",1402
"109",100
"110",1382
"111",992
"112",1486
"113",1128
"114",1185
"115",1242
"116",1174
"117",1370
"118",1213
"119",1380
"120",981
"121",1375
"122",279
"123",254
"124",1457
"125",1390
"126",114
"127",1314
"128",302
"129",90
"130",1014
"131",1311
"132",264
"133",1007
"134",277
"135",1371
"136",80
"137",1085
"138",1479
"139",1509
"140",1423
"141",1501
"142",1469
"143",299
"144",63
"145",267
"146",271
"147",1091
"148",273
"149",258
"150",984
"151",1175
"152",1070
"153",1292
"154",1408
"155",1099
"156",112
"157",82
"158",1395
"159",988
"160",1381
"161",97
"162",1232
"163",1031
"164",1127
"165",1164
"166",1059
"167",1241
"168",637
"169",87
"170",1347
"171",75
"172",1453
"173",106
"174",1047
"175",64
"176",72
"177",799
"178",292
"179",312
"180",1129
"181",825
"182",96
"183",278
"184",316
"185",62
"186",298
"187",309
"188",269
"189",1016
"190",1142
"191",1350
"192",276
"193",1052
"194",283
