"","x"
"1",6
"2",29
"3",8
"4",35
"5",27
"6",26
"7",47
"8",24
"9",13
"10",14
"11",23
"12",11
"13",4
"14",21
"15",1077
"16",36
"17",30
"18",43
"19",32
"20",1
"21",45
"22",34
"23",17
"24",22
"25",25
"26",80
"27",1327
"28",15
"29",42
"30",1511
"31",1084
"32",5
"33",33
"34",19
"35",1000
"36",1212
"37",10
"38",99
"39",40
"40",2
"41",44
"42",46
"43",20
"44",18
"45",1149
"46",3
"47",943
"48",922
"49",1269
"50",49
"51",913
"52",1112
"53",41
"54",923
"55",48
"56",31
"57",9
"58",7
"59",1046
"60",37
"61",916
"62",1381
"63",1401
"64",38
"65",1045
"66",1399
"67",12
"68",1458
"69",39
"70",1244
"71",1447
"72",944
"73",1093
"74",920
"75",882
"76",16
"77",980
"78",28
"79",636
"80",904
"81",1441
"82",901
"83",1389
"84",1291
"85",1141
"86",111
"87",0
"88",1173
"89",1250
"90",910
"91",276
"92",301
"93",1011
"94",886
"95",61
"96",871
"97",298
"98",912
"99",909
"100",1115
"101",291
"102",947
"103",1024
"104",629
"105",1134
"106",74
"107",105
"108",894
"109",278
"110",935
"111",1178
"112",1193
"113",1370
"114",62
"115",96
"116",266
"117",280
"118",270
"119",824
"120",1013
"121",1351
"122",79
"123",1034
"124",898
"125",89
"126",315
"127",991
"128",157
"129",896
"130",1380
"131",272
"132",71
"133",1343
"134",798
"135",106
"136",135
"137",1052
"138",900
"139",880
"140",220
"141",875
"142",885
"143",113
"144",1145
"145",1207
"146",95
"147",937
"148",1014
"149",1237
"150",63
"151",347
"152",263
"153",1354
"154",917
"155",1138
"156",1030
"157",1184
"158",872
"159",357
"160",279
"161",911
"162",878
"163",893
"164",951
"165",1369
"166",965
"167",1415
"168",561
"169",1070
"170",1191
"171",1376
"172",1275
"173",232
"174",102
"175",1464
"176",1241
"177",1318
"178",253
"179",941
"180",242
"181",874
"182",829
"183",193
"184",268
"185",563
"186",1239
"187",879
"188",625
"189",866
"190",926
"191",914
"192",86
"193",602
"194",873
"195",915
"196",632
"197",919
"198",619
"199",282
"200",81
"201",341
"202",139
"203",902
"204",638
"205",1429
"206",1358
"207",903
"208",1223
"209",1006
"210",685
"211",1485
"212",1445
"213",1295
"214",834
"215",1306
