"","x"
"1",19
"2",8
"3",10
"4",6
"5",50
"6",40
"7",4
"8",11
"9",2
"10",1
"11",29
"12",33
"13",17
"14",16
"15",26
"16",41
"17",32
"18",34
"19",42
"20",18
"21",43
"22",39
"23",12
"24",13
"25",49
"26",21
"27",31
"28",35
"29",47
"30",38
"31",45
"32",20
"33",37
"34",24
"35",22
"36",25
"37",3
"38",44
"39",46
"40",28
"41",14
"42",5
"43",48
"44",23
"45",36
"46",15
"47",9
"48",27
"49",7
"50",30
"51",1128
"52",1071
"53",1353
"54",1270
"55",1442
"56",1438
"57",983
"58",1450
"59",1491
"60",984
"61",1473
"62",1006
"63",1467
"64",1476
"65",1497
"66",1015
"67",1427
"68",1050
"69",1486
"70",1267
"71",1180
"72",1507
"73",1413
"74",1336
"75",995
"76",1299
"77",1033
"78",1328
"79",1078
"80",1400
"81",1338
"82",1119
"83",1330
"84",1306
"85",979
"86",1424
"87",1010
"88",1318
"89",1331
"90",1118
"91",1365
"92",1189
"93",1471
"94",1001
"95",1170
"96",996
"97",1117
"98",1107
"99",1241
"100",1043
"101",1462
"102",1002
"103",1070
"104",1339
"105",1441
"106",1514
"107",1447
"108",1294
"109",1009
"110",1114
"111",1496
"112",1152
"113",1383
"114",1277
"115",1245
"116",1479
"117",1148
"118",1004
"119",970
"120",1464
"121",1484
"122",1300
"123",1375
"124",1337
"125",1105
"126",1454
"127",1135
"128",1315
"129",1295
"130",1360
"131",1109
"132",1095
"133",1016
"134",1091
"135",1163
"136",1251
"137",1182
"138",1168
"139",1212
"140",1067
"141",1426
"142",1453
"143",1244
"144",1322
"145",1348
"146",1417
"147",1458
"148",1113
"149",998
"150",1351
"151",1247
"152",1042
"153",1452
"154",1048
"155",1224
"156",1303
"157",1344
"158",1138
"159",1508
"160",1253
"161",1457
"162",1203
"163",1032
"164",1126
"165",1207
"166",1106
"167",1504
"168",1122
"169",1005
"170",1509
"171",1099
"172",1506
"173",1172
"174",1140
"175",1223
"176",1488
"177",1333
"178",1249
"179",1501
"180",1500
"181",1448
"182",1465
"183",1194
"184",1347
"185",1057
"186",1257
"187",1154
"188",988
"189",1422
"190",1146
"191",1187
"192",1276
"193",1261
"194",1279
"195",1420
"196",1320
"197",1065
"198",1136
"199",1411
"200",1079
"201",1132
"202",982
"203",1423
"204",1434
"205",1392
"206",1144
"207",997
"208",1019
"209",1436
"210",977
"211",1232
"212",1112
"213",1343
"214",1266
"215",1374
"216",1157
"217",1219
"218",1183
"219",1346
"220",1238
"221",1080
"222",1259
"223",1293
"224",1380
"225",1354
"226",1518
"227",1335
"228",1404
"229",1395
"230",1098
"231",1127
"232",1120
"233",1319
"234",1263
"235",1216
"236",1160
"237",1061
"238",980
"239",1305
"240",1072
"241",1133
"242",1088
"243",1367
"244",1073
"245",1110
"246",1433
"247",1475
"248",1056
"249",1291
"250",1017
"251",1435
"252",1227
"253",1124
"254",1145
"255",1188
"256",1469
"257",1388
"258",1025
"259",1147
"260",1185
"261",1013
"262",1166
"263",1280
"264",1178
"265",1327
"266",1412
"267",1059
"268",1115
"269",1171
"270",1407
"271",1459
"272",1386
"273",1350
"274",1217
"275",1101
"276",1008
"277",1164
"278",972
"279",1039
"280",1446
"281",1084
"282",1489
"283",1094
"284",1076
"285",1406
"286",1272
"287",1054
"288",1198
"289",1204
"290",1494
"291",1362
"292",1349
"293",1289
"294",1093
"295",1268
"296",1089
"297",992
"298",1334
"299",1029
"300",1519
"301",974
"302",1281
"303",1169
"304",999
"305",1086
"306",1186
"307",1254
"308",989
"309",1393
"310",1425
"311",1102
"312",1478
"313",1081
"314",1492
"315",1038
"316",1234
"317",1191
"318",1155
"319",1516
"320",1156
"321",1482
"322",1384
"323",1364
"324",1326
"325",1402
"326",1317
"327",1031
"328",1161
"329",1097
"330",1498
"331",1373
"332",1258
"333",1431
"334",1490
"335",1517
"336",1100
"337",1064
"338",1206
"339",1345
"340",1158
"341",1121
"342",1052
"343",1355
"344",1173
"345",975
"346",1082
"347",1165
"348",1474
"349",1314
"350",1196
"351",1397
"352",1409
"353",1226
"354",1260
"355",1205
"356",1510
"357",1162
"358",1269
"359",1092
"360",1301
"361",1151
"362",1470
"363",1308
"364",1290
"365",1340
"366",1419
"367",1201
"368",1003
"369",1175
"370",1055
"371",1229
"372",1405
"373",1372
"374",1242
"375",1044
"376",1007
"377",1396
"378",1437
"379",1408
"380",1167
"381",978
"382",993
"383",1218
"384",1143
"385",1174
"386",1210
"387",1332
"388",1370
